GPSLongitude,GPSLatitudeRef,GPSLatitude,GPSLongitudeRef,DateTimeOriginal,PhotoName
"((122, 1), (22, 1), (1989, 100))",N,"((47, 1), (38, 1), (1033, 100))",W,2020:06:11 12:01:35,trial.jpg
"((135, 1), (46, 1), (5240, 100))",N,"((34, 1), (58, 1), (850, 100))",E,2019:10:15 04:43:23,trial2.jpg
